,group,names,scores,logfoldchanges,pvals,pvals_adj
312,trypomast_0,C4B63_23g234,6.186162,0.8107881,6.164669306801329e-10,9.444889844950317e-06
313,trypomast_0,C4B63_85g39,6.1807685,0.6969777,6.379023334596025e-10,9.77330165093457e-06
314,trypomast_0,C4B63_2g178,6.173413,1.0409917,6.683135614430732e-10,1.0239232074869325e-05
315,trypomast_0,C4B63_10g136,6.171447,0.5760185,6.766788022811297e-10,1.0367395929749189e-05
316,trypomast_0,C4B63_22g25,6.1672587,0.54000306,6.948410758687919e-10,1.064566012338576e-05
317,trypomast_0,C4B63_40g149,6.150913,0.55962324,7.703823782014962e-10,1.1803028416425123e-05
318,trypomast_0,C4B63_2g30,6.1420345,0.57125366,8.147101959514599e-10,1.2482174912172316e-05
319,trypomast_0,C4B63_19g103,6.1399965,0.61968946,8.252328902530334e-10,1.2643393111566725e-05
320,trypomast_0,C4B63_2g380,6.136573,0.664046,8.432063393781783e-10,1.291876432561307e-05
322,trypomast_0,C4B63_8g555,6.1156206,1.2281564,9.61819524406992e-10,1.4736036933439526e-05
323,trypomast_0,C4B63_7g438,6.113907,0.9411495,9.722100063065266e-10,1.4895229506622295e-05
324,trypomast_0,C4B63_148g34,6.110819,1.199702,9.912117967466293e-10,1.5186355937955106e-05
